,IPC(%anual),Desempleo (%),Inversion Es(millones€),IED(millones€),Total de reservas(millones€),Deuda Externa(millones€),Tasa de interés(%),Saldo Balanza Pagos(millones€),Importaciones(millones€),Exportaciones(millones€),PIB(millones€)
1993,9.75,3.37,94.32,3903.58,22500.67,117269.6,18.23,-20811.96,60076.3,46147.41,445354.66
1994,6.97,4.44,34.05,8807.63,5170.5,112309.71,19.3,-23809.78,65810.16,48869.98,423675.69
1995,35.0,7.1,16.53,7113.28,12727.92,124500.3,59.43,-1177.13,55574.64,59394.01,268867.19
1996,34.38,5.47,27.26,7275.91,15467.27,124821.36,36.39,-1986.39,72856.57,76041.6,325533.77
1997,20.63,4.24,93.71,11720.02,26356.74,135969.78,22.14,-7001.92,103336.03,100878.72,457127.72
1998,15.93,3.73,71.46,10876.42,27166.55,136569.31,26.36,-13635.34,110046.79,100146.4,448895.72
1999,16.59,2.6,100.38,13837.88,31592.87,166731.61,23.74,-13896.14,145002.98,135381.71,595791.15
2000,9.49,2.65,140.04,19505.44,37751.05,161879.29,16.93,-19898.19,190429.25,176532.02,751159.85
2001,6.37,2.63,70.3,33742.37,50293.24,186407.4,12.8,-19927.19,194236.28,177969.01,849402.82
2002,5.03,3.0,61.56,22910.1,48259.49,149787.48,8.21,-14168.26,164848.06,153033.54,735354.12
2003,4.55,3.46,86.14,14478.58,46896.71,126065.15,7.02,-6630.11,139068.49,131407.12,579457.71
2004,4.69,3.94,36.51,18378.08,47355.17,122372.1,7.44,-5175.48,149186.98,138654.05,576980.67
2005,3.99,3.56,214.97,21964.53,62563.41,144208.98,9.7,-7642.72,192680.21,180833.55,740765.43
2006,3.63,3.57,210.36,16771.11,57819.5,129235.84,7.51,-2690.22,199583.07,189345.46,738855.75
2007,3.97,3.63,232.31,21321.4,59772.48,134393.71,7.56,-6783.74,198934.61,186306.11,721518.03
2008,5.12,3.87,135.07,21298.97,68158.44,141374.93,8.71,-12021.58,227651.02,208312.73,793864.18
2009,5.3,5.36,176.25,13729.16,69772.34,135050.05,7.06,-5418.38,168698.23,160453.83,628681.68
2010,4.16,5.3,199.43,22775.14,90112.44,183765.91,5.28,-3609.46,231816.2,222923.33,790494.91
2011,3.41,5.17,87.82,18417.42,115293.11,225461.84,4.91,-9186.57,278997.24,270111.97,912164.32
2012,4.11,4.89,1109.94,13792.77,126593.32,264646.42,4.68,-14120.93,288287.42,280932.43,910065.88
2013,3.81,4.91,619.15,36945.7,131077.5,295497.95,4.27,-22925.27,284387.94,276422.91,927029.9
2014,4.02,4.81,2247.75,23641.59,161711.29,365620.76,3.55,-21013.06,340130.54,328008.08,1087006.22
2015,2.72,4.31,1844.21,32903.8,163513.22,393059.66,3.44,-28594.92,373143.14,350372.38,1078938.51
2016,2.82,3.86,3529.61,36866.41,169199.54,401104.32,4.75,-23151.39,377924.17,355512.36,1025321.06
2017,6.04,3.42,1009.01,27512.79,146218.88,367965.88,7.33,-17027.89,360134.76,341180.52,965722.23
2018,4.9,3.28,590.64,32822.14,153759.41,395017.66,8.04,-22088.42,415405.15,392886.52,1065521.46
2019,3.64,3.48,2183.6,26174.93,163231.12,418857.12,8.43,-3779.32,416728.86,410809.76,1131451.85
2020,3.4,4.71,837.09,23801.49,160434.18,534121.18,6.34,21748.36,321872.67,341863.14,880836.96
